"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*pa(m)pa","acd-s_p.htm#3903","a tree:"
"*papa₂","acd-s_p.htm#10901","father"
"*papak","acd-s_p.htm#11246","to break, chip off"
"*papan","acd-s_p.htm#8152","plank, board; floor boards of house"
"*papaq₁","acd-s_p.htm#3821","frond of a palm"
"*pa-p-atay","acd-s_a1.htm#61","kill"
"*pa-penuq","acd-s_p.htm#6991","to fill, cause to become full"
"*pa-pija","acd-s_p.htm#8053","how many? (of people)"
"*pa-pitu","acd-s_p.htm#8316","seven (of humans)"
"*pa-putiq","acd-s_p.htm#12060","(gloss uncertain)"
"*paqa₁","acd-s_p.htm#7509","thigh"
"*paqa₂","acd-s_p.htm#7510","stalk or stem of a plant"
"*pa-qasawa","acd-s_q.htm#4297","marry off, cause to get married"
"*paqet","acd-s_p.htm#6870","wood-working tool: chisel"
"*pa-qetut","acd-s_q.htm#4502","to fart, break wind"
"*paqit₂","acd-s_p.htm#6872","bitter(ness)"
"*paqpaq₁","acd-s_p.htm#10892","premasticate food for infant"
"*paqpaq₂","acd-s_p.htm#6675","midrib of coconut frond"
"*pa-qudip","acd-s_q.htm#4641","care for, raise (an animal)"
"*pa-qumah-an","acd-s_q.htm#4691","(gloss uncertain)"
"*pa-quzaN","acd-s_q.htm#4787","(gloss uncertain)"
"*para","acd-s_p.htm#3843","coconut embryo"
"*paraqu","acd-s_p.htm#3836","boat"
"*pariuk","acd-s_p.htm#3864","earthenware cooking pot"
"*parud","acd-s_p.htm#11193","rasp, file"
"*paR-₂","acd-s_p.htm#3874","divide into x (x = numeral)"
"*paRa paRa","acd-s_p.htm#3847","storage shelf; attic, loft"
"*paRa₁","acd-s_p.htm#3845","storage shelf; attic, loft"
"*paRa₂","acd-s_p.htm#3848","collective particle"
"*paRada","acd-s_p.htm#3831","handle of an axe or adze"
"*paRaek","acd-s_p.htm#3833","hoarse"
"*paRaw","acd-s_p.htm#3841","hoarse"
"*paR-enem-en","acd-s_e1.htm#2370","do six times"
"*paR-epat-en","acd-s_s2.htm#5178","divide into four (?)"
"*paRih","acd-s_p.htm#3860","skate, stingray (generic); a constellation"
"*paRih manuk","acd-s_p.htm#3863","large rayfish, probably manta or eagle ray"
"*paR-isa-an","acd-s_i1.htm#2971","to unite, combine in one"
"*paRut","acd-s_p.htm#3870","pluck, uproot"
"*paR-walu-en","acd-s_w.htm#5950","do eight times"
"*pa-sakit","acd-s_s1.htm#8347","hurt someone; make someone sick"
"*pasaŋ₁","acd-s_p.htm#8791","pair, matching set"
"*pasaqan","acd-s_p.htm#3876","carry on the shoulders"
"*pasek","acd-s_p.htm#8184","wooden nail, dowel; drive in, as a wooden nail, dowel, or fencepost"
"*pa-siku","acd-s_s1.htm#8489","knock someone or something with the elbow"
"*paspas₁","acd-s_p.htm#3877","beat out, thresh"
"*pasu₁","acd-s_p.htm#3878","cheek bone"
"*pasuk","acd-s_p.htm#11213","enter"
"*pasuŋ","acd-s_p.htm#3879","cheek bone"
"*pa-susu","acd-s_s1.htm#7629","give the breast to, nurse a child"
"*pa-susu-en","acd-s_s1.htm#7630","to nurse, give a child the breast (to be sucked)"
"*pa-SateD","acd-s_s2.htm#5081","send (?)"
"*pa-Sezam","acd-s_s2.htm#5224","lend"
"*pat-a","acd-s_s2.htm#5186","four (in counting certain referents)"
"*pa-takut","acd-s_t.htm#7430","to frighten, make afraid"
"*pa-taŋis","acd-s_c2.htm#7770","to make someone cry; to let someone cry"
"*pataq","acd-s_p.htm#3880","break, broken, cut through"
"*pa(n)tar₁","acd-s_p.htm#3907","level, flat"
"*pataR₁","acd-s_p.htm#6517","shelf"
"*pa-taRuq","acd-s_t.htm#8853","something given to another for safekeeping (?)"
"*p-atay","acd-s_a1.htm#7159","kill"
"*pa-telu","acd-s_t.htm#8428","(gloss uncertain)"
"*pa-tuba","acd-s_t.htm#8458","to stun fish with plant poisons"
"*patuRu","acd-s_p.htm#11282","a cycad:"
"*pa-tuzuq","acd-s_t.htm#8827","to point out, give directions (?)"
"*pa-uliq","acd-s_u1.htm#5776","return, send back"
"*pauq","acd-s_p.htm#3884","a tree:"
"*pa-utaq","acd-s_u1.htm#5869","cause to vomit"
"*paya","acd-s_p.htm#3886","kind of small fish, probably sardine or anchovy"
"*peceq₂","acd-s_p.htm#7616","break into several large pieces; to hatch, of an egg"
"*peCik","acd-s_p.htm#3919","snap, as the fingers or a slingshot"
"*pedek","acd-s_p.htm#3920","wink, blink"
"*pedet","acd-s_p.htm#3921","pack in tightly"
"*pedped₁","acd-s_p.htm#3922","press together, pack solid"
"*peka","acd-s_p.htm#3928","separate, disconnect"
"*pekaŋ","acd-s_p.htm#3953","stretch open or apart"
"*peket","acd-s_p.htm#10938","sticky, adhesive"
"*pekpek₁","acd-s_p.htm#3929","beat, hit"
"*pekuq₁","acd-s_p.htm#3931","bend, curve"
"*peluk","acd-s_p.htm#11217","bend, curve"
"*pelus","acd-s_p.htm#3934","slip off"
"*pened₁","acd-s_p.htm#11218","stopped up, plugged"
"*pened₂","acd-s_p.htm#11251","formal gathering, as of chiefs"
"*penuq sakay","acd-s_p.htm#6998","overwhem in numbers?"
"*peNuq","acd-s_p.htm#6986","full, of a container"
"*peñu","acd-s_p.htm#7001","the green turtle,"
"*peŋ","acd-s_p.htm#3952","dull sound"
"*peŋa","acd-s_p.htm#3947","fork of a branch"
"*periŋ","acd-s_p.htm#3937","bamboo sp."
"*perus","acd-s_p.htm#3938","slip or slide off"
"*pe(R)cit","acd-s_p.htm#3949","squeeze, squirt out"
"*peReq","acd-s_p.htm#7511","squeeze out juice, wring out water"
"*peRes","acd-s_p.htm#7513","squeeze out juice, extract liquid by squeezing"
"*pes","acd-s_p.htm#3942","sound of escaping air, etc."
"*pesak","acd-s_p.htm#3939","break into several large pieces; hatch"
"*pespes","acd-s_p.htm#7234","squeeze out; massage"
"*pesu₁","acd-s_p.htm#11161","hole in something"
"*pesuk","acd-s_p.htm#11253","have a hole; be perforated"
"*peta","acd-s_p.htm#3944","shatter, break"
"*pezeŋ","acd-s_p.htm#3946","close the eyes"
"*pia₂","acd-s_p.htm#8639","goodness"
"*pia₃","acd-s_p.htm#11226","to want, desire"
"*piak","acd-s_p.htm#10827","baby chick; peeping of chick"
"*pian","acd-s_p.htm#3954","want, desire, wish or long for"
"*picak","acd-s_p.htm#3956","crush, press in"
"*picik","acd-s_p.htm#3957","splash, spray, sprinkle"
"*picit","acd-s_p.htm#3958","squeeze out"
"*piek","acd-s_p.htm#11869","peep, cheep"
"*pihpih","acd-s_p.htm#11097","cheeks, temples"
"*pija pija","acd-s_p.htm#8056","some, several"
"*p-ijan","acd-s_i1.htm#2830","when?"
"*pijax","acd-s_p.htm#8047","interrogative of quantity: how much?, how many?; adjective of indefinite quantity: some, several, a few"
"*pijpij","acd-s_p.htm#7414","close together"
"*pikak","acd-s_p.htm#3963","make a harsh throaty sound"
"*pikaŋ","acd-s_p.htm#9512","spread wide apart, as the legs or any two things joined at a point"
"*piŋkaw","acd-s_p.htm#12586","bent, crooked"
"*pikel","acd-s_p.htm#3967","bend, curve"
"*pi(ŋ)keR","acd-s_p.htm#4008","bend, turn"
"*pikik","acd-s_p.htm#3968","chirp, squeak"
"*pikit","acd-s_p.htm#6478","sticking to, attached to, joined"
"*pikpik","acd-s_p.htm#3969","sound of patting or tapping"
"*piku","acd-s_p.htm#11916","bend, curve"
"*pi(ŋ)kuk","acd-s_p.htm#4009","bend, curve"
"*pikul","acd-s_p.htm#10949","bend, curve"
"*pikuq₁","acd-s_p.htm#7172","to bend, curve; bent, curved"
"*pikut","acd-s_p.htm#11059","to bend over, as a person"
"*pilaɁ","acd-s_p.htm#3973","scar"
"*piliq","acd-s_p.htm#8112","to choose, to select; to pick out"
"*piliq piliq","acd-s_p.htm#8130","(gloss uncertain)"
"*piliq-an","acd-s_p.htm#8127","(gloss uncertain)"
"*piliq-i","acd-s_p.htm#8129","choose it!"
"*pilit₁","acd-s_p.htm#7557","paste, stick to"
"*pilu","acd-s_p.htm#9342","a large marine fish, the jackfish or trevally"
"*piluk₁","acd-s_p.htm#7250","crippled; bent or twisted, of the leg or foot"
"*piluq","acd-s_p.htm#3975","to fold"
"*p<in>a-kaen","acd-s_k.htm#8020","was fed by someone"
"*p<in>aŋan","acd-s_p.htm#3890","food; to feed, nourish"
"*pin-duha","acd-s_d.htm#7898","(gloss uncertain)"
"*piNay","acd-s_p.htm#10862","lame, crippled"
"*piŋ(e)qut","acd-s_p.htm#9419","nasal mucus, snot"
"*piŋi","acd-s_p.htm#4001","cheek"
"*piŋus","acd-s_p.htm#4007","nasal mucus, snot"
"*pipi₂","acd-s_p.htm#8131","female genitalia (child’s word?)"
"*pipis₂","acd-s_p.htm#10910","to crush or mash between two hard surfaces"
"*pi-pitu","acd-s_p.htm#8318","seven each"
"*piqek","acd-s_p.htm#10866","baby chick; to peep, of chicks"
"*pirit","acd-s_p.htm#3982","plait a cord, twist, wrap around"
"*piRah","acd-s_p.htm#7519","roe, eggs of fish or crustacean"
"*piRah-an","acd-s_p.htm#7522","be laden with roe, of a fish or crustacean"
"*pisaw","acd-s_p.htm#10939","kind of knife or machete"
"*pisel","acd-s_p.htm#11012","pinch, squeeze; knead"
"*pispis₁","acd-s_p.htm#10913","hair on the temples"
"*pispis₄","acd-s_p.htm#12588","to squeeze"
"*pi(n)tak","acd-s_p.htm#4003","split"
"*pitak₁","acd-s_p.htm#3992","mud"
"*pitak₃","acd-s_p.htm#11398","split"
"*pi(n)tik","acd-s_p.htm#4004","throb, beat"
"*pitik₁","acd-s_p.htm#11014","to fillip, flick with the finger"
"*pitpit₂","acd-s_p.htm#9053","pinch, squeeze, press between two surfaces; pluck, pick off"
"*pitpit₃","acd-s_p.htm#10917","to beat, whip"
"*pitpit-en","acd-s_p.htm#9054","be pinched, squeezed, or pressed"
"*pitu ŋa puluq","acd-s_p.htm#8319","seventy"
"*pitu ŋa Ratus","acd-s_p.htm#8320","seven hundred (700)"
"*pitu pitu","acd-s_p.htm#8327","seven by seven, seven at a time"
"*pitu₁","acd-s_p.htm#8310","seven"
"*pituŋ","acd-s_p.htm#3996","bamboo sp."
"*piuk","acd-s_p.htm#3998","dent, dimple"
"*piut","acd-s_p.htm#3999","relative of the third or fourth ascending or descending generation"
"*puaŋ","acd-s_p.htm#4012","title of respect"
"*pucek","acd-s_p.htm#4014","press in by force"
"*pucut₁","acd-s_p.htm#4015","spurt out"
"*puCaq","acd-s_p.htm#4013","foam, froth, lather"
"*pudu","acd-s_p.htm#11016","fruit of the betel pepper"
"*pudul","acd-s_p.htm#4017","blunt, dull"
"*pudun","acd-s_p.htm#4020","wind thread, etc. into a ball; spool"
"*-pudus","acd-s_p.htm#12045","whirlwind, whirlpool"
"*puŋgul","acd-s_p.htm#4079","prune, cut off the tip"
"*puk₂","acd-s_p.htm#10999","pop!, plop!, splash!"
"*pu(ŋ)kaq","acd-s_p.htm#4083","break off"
"*pukaq","acd-s_p.htm#11399","break off"
"*puket₁","acd-s_p.htm#8399","dragnet"
"*puki","acd-s_p.htm#7143","vulva, vagina"
"*pukpuk","acd-s_p.htm#8647","to hammer, pound, beat"
"*pula₁","acd-s_p.htm#4030","red"
"*pulaq","acd-s_p.htm#4029","red"
"*pules","acd-s_p.htm#8558","twist, wring"
"*puliŋ₁","acd-s_p.htm#4036","turn round, rotate"
"*pulis","acd-s_p.htm#4034","twist, wring"
"*pulit","acd-s_p.htm#4035","twine around"
"*pulu₁","acd-s_p.htm#4040","handle"
"*puluC","acd-s_p.htm#4039","a plant:"
"*puluŋ","acd-s_p.htm#11175","collection, gathering, assembly"
"*puluq₁","acd-s_p.htm#6902","group of ten"
"*pulut","acd-s_p.htm#8664","birdlime, sticky sap of breadfruit, etc."
"*p<um>asuk","acd-s_p.htm#11214","to enter"
"*p<um>iliq","acd-s_p.htm#8126","to choose, select, pick out"
"*puna₂","acd-s_p.htm#11235","source, origin"
"*punaŋ","acd-s_p.htm#4042","source, origin"
"*punas","acd-s_p.htm#4041","wipe off, wipe out"
"*punay","acd-s_p.htm#8656","greenish fruit dove"
"*punay punay","acd-s_p.htm#8659","greenish fruit dove"
"*puni₁","acd-s_p.htm#4045","tree fern"
"*pu-ŋajan","acd-s_n4.htm#7500","(gloss uncertain)"
"*puŋu","acd-s_p.htm#4082","bunch, cluster (of grain, fruit, areca nuts, etc.)"
"*puŋun","acd-s_p.htm#12522","bunch, cluster"
"*pupu₁","acd-s_p.htm#4050","pick, pluck (as fruit)"
"*puqas","acd-s_p.htm#4052","to abate, of strong feelings"
"*puqpuq₁","acd-s_p.htm#4053","pick, pluck (as fruit)"
"*puqun","acd-s_p.htm#6519","base of a tree; cause; source, origin; beginning; foot of a hill or mountain; first wife; model or example (to be copied); expression for the mother’s brother"
"*puqun nu kahiw","acd-s_p.htm#6524","tree (lit. ‘foundation/origin of wood’)"
"*puqun nu laŋit","acd-s_p.htm#6525","horizon (lit. ‘foundation/beginning of the sky’); stranger, foreigner"
"*puRcit","acd-s_p.htm#4055","spurt or gush out"
"*puRiq","acd-s_b.htm#1757","wash, as the hands"
"*puRu₁","acd-s_p.htm#11044","a skin disease: framboesia, yaws"
"*puRuq","acd-s_p.htm#4058","a bird, the quail"
"*pus","acd-s_p.htm#4062","hiss, whizzing sound"
"*pusej","acd-s_p.htm#7937","navel, umbilicus; mid-point or center of something"
"*pusuŋ₂","acd-s_p.htm#8473","heart; heart of banana"
"*pusuq₁","acd-s_p.htm#8472","heart of a person or animal; purple heart-shaped inflorescence of banana plant"
"*pusuq₂","acd-s_p.htm#8474","sticky rice cake"
"*putaR","acd-s_p.htm#8560","to turn"
"*putat","acd-s_p.htm#10888","trees in the genus"
"*puteq","acd-s_p.htm#4063","gummy secretion"
"*punti₁","acd-s_p.htm#7783","banana"
"*putiq","acd-s_p.htm#7943","white"
"*putput₁","acd-s_p.htm#8670","to pluck, pull out"
"*putput₂","acd-s_p.htm#8668","puff, blow, expel air rapidly, as in using a blowgun"
"*putul","acd-s_p.htm#8267","to break off, cut off"
"*putuŋ₁","acd-s_p.htm#4067","bamboo used as a storage container"
"*qa₁","acd-s_q.htm#4395","locative particle"
"*qabaŋ₁","acd-s_q.htm#4097","boat, canoe"
"*qambaR","acd-s_q.htm#4191","tasteless, insipid"
"*qabaRa₁","acd-s_q.htm#4088","shoulder; carry on the shoulder"
"*qabaRa₂","acd-s_q.htm#4090","topmost hand of banana stalk"
"*qabaRa-an","acd-s_q.htm#4089","shoulder (?)"
"*qabaS","acd-s_q.htm#4091","notch cut in a tree"
"*qambat","acd-s_q.htm#4192","ambush, block the way; obstacle, hindrance"
"*qabated","acd-s_q.htm#4092","sago grub"
"*qabateR","acd-s_q.htm#4094","sago grub"
"*qabatiR","acd-s_q.htm#4096","sago grub"
"*qabin","acd-s_q.htm#4100","hold or carry under the arm"
"*qabu","acd-s_q.htm#4115","ash, hearth, cinder, powder, dust; gray"
"*qabu-an","acd-s_q.htm#4121","place of ashes; hearth"
"*qabuk","acd-s_q.htm#4107","dust, sawdust"
"*qaCeb","acd-s_q.htm#4137","deadfall trap to catch small mammals"
"*qaCi-","acd-s_q.htm#4140","prefix variant of the *qali/kali- set"
"*qaCipa","acd-s_q.htm#4138","soft-shelled turtle"
"*qadep","acd-s_q.htm#6975","front, facing part"
"*qahelu","acd-s_q.htm#10957","pestle"
"*qajaw","acd-s_q.htm#4148","day"
"*qajeŋ","acd-s_q.htm#4152","charcoal"
"*qajeŋ i batu","acd-s_q.htm#4153","coal, anthracite"
"*qalad","acd-s_q.htm#4154","fence, wall"
"*qala-matek","acd-s_m.htm#6864","jungle leech,  spp."
"*qalap qatay","acd-s_q.htm#4128","(lit. 'fetch the liver') capture someone's fancy"
"*qaleb","acd-s_q.htm#4156","knee"
"*qalejaw","acd-s_q.htm#4157","day"
"*qalejaw-qalejaw","acd-s_q.htm#4162","daily, every day"
"*qalep","acd-s_q.htm#4163","beckon, wave"
"*qali-","acd-s_q.htm#10074","prefix for words with a sensitive reference to the spirit world (cf. )"
"*qaliliŋ","acd-s_q.htm#4167","cateye shell"
"*qa-lima","acd-s_l.htm#9000","hand"
"*qalima","acd-s_q.htm#10227","hand"
"*qali-maŋaw","acd-s_q.htm#4168","mangrove crab"
"*qali-maŋu","acd-s_q.htm#4169","mangrove crab"
"*qali-petpet","acd-s_q.htm#4173","firefly"
"*qali-puju","acd-s_q.htm#4174","hair whorl"
"*qali-puspus","acd-s_q.htm#12440","whirlwind; hair whorl"
"*qaliR","acd-s_q.htm#4175","to flow"
"*qaliR-an","acd-s_q.htm#4176","place where water flows"
"*qalu","acd-s_q.htm#4189","a fish: barracuda sp."
"*qalu-hipan","acd-s_q.htm#4187","centipede"
"*qalun","acd-s_q.htm#4179","long rolling wave, swell, billow"
"*qalunan","acd-s_q.htm#4178","wooden headrest, pillow"
"*qalupaR","acd-s_q.htm#12783","persimmon"
"*qaluR₂","acd-s_q.htm#4184","current, deep channel in the middle of a river"
"*qamataq","acd-s_q.htm#4190","raw, eat something raw"
"*qamihan","acd-s_q.htm#4200","north wind"
"*qa(m)pelas","acd-s_q.htm#4260","tree with leaves like sandpaper:  spp."
"*qanahaw","acd-s_q.htm#4204","sugar palm:  spp."
"*qaneb","acd-s_q.htm#11115","close a door"
"*qaneb-an","acd-s_q.htm#11117","(gloss uncertain)"
"*qa-ni","acd-s_n1.htm#3682","this; here"
"*qani₁","acd-s_q.htm#4232","proximal deictic: this"
"*qanibuŋ","acd-s_q.htm#4206","a palm, probably  sp."
"*qanih","acd-s_q.htm#4226","harvest; to harvest"
"*qanilaw","acd-s_q.htm#4220","a tree;  spp."
"*qaninu","acd-s_q.htm#4234","shadow, reflection"
"*qani-Ruan","acd-s_q.htm#4224","a small bee:"
"*qanit","acd-s_q.htm#4213","animal skin, hide, leather"
"*qanitu","acd-s_q.htm#4208","ghost, ancestral spirit; nature spirit; corpse; owl; various plants"
"*qanuaŋ","acd-s_q.htm#4242","large ruminant species: carabao, water buffalo (?)"
"*qanunu","acd-s_q.htm#4244","shadow"
"*qanup","acd-s_q.htm#4247","to hunt wild game"
"*qanup-an","acd-s_q.htm#4250","hunting ground, hunting territory"
"*qanup-en","acd-s_q.htm#4252","what is hunted, wild game"
"*qaNi-","acd-s_q.htm#4230","variant of the *qali/kali- prefix"
"*qaNi","acd-s_q.htm#4231","weaving spindle"
"*qaNuNaŋ","acd-s_q.htm#4243","a tree:"
"*qañud","acd-s_q.htm#4412","drift on a current, carried away by flowing water"
"*qaŋab","acd-s_q.htm#4396","gape, open the mouth wide"
"*qaŋap","acd-s_q.htm#4397","gape, open the mouth wide"
"*qaŋeliC","acd-s_q.htm#4398","stench of burning substances"
"*qaŋeRih","acd-s_q.htm#10961","stench of spoiling fish"
"*qaŋeRu","acd-s_q.htm#4400","stench of spoiled or souring organic matter"
"*qaŋeseR","acd-s_q.htm#4402","stench of urine"
"*qaŋeSit","acd-s_q.htm#4403","stench, musky odor of an animal"
"*qaŋet","acd-s_q.htm#4406","anger"
"*qaŋiR","acd-s_q.htm#4407","fetid, foul-smelling"
"*qaŋqaŋ","acd-s_q.htm#4410","barking of a dog"
"*qapah","acd-s_q.htm#4255","empty husk (of rice, etc.)"
"*qapaliR","acd-s_q.htm#11354","surgeonfish:  spp."
"*qapejux","acd-s_q.htm#4258","gall, gall bladder, bile"
"*qapid","acd-s_q.htm#4264","braid, twine"
"*qapij","acd-s_q.htm#267","twins; double banana"
"*qapit","acd-s_q.htm#7199","tongs, anything used to hold things together by pinching"
"*qapucuk","acd-s_q.htm#4266","peak of a mountain"
"*qapuR","acd-s_q.htm#4267","lime, calcium"
"*qa(m)pus","acd-s_q.htm#4409","come to an end, be destroyed"
"*qaqay","acd-s_q.htm#4273","foot, leg"
"*qari-ñuan","acd-s_q.htm#4283","a small bee:"
"*qaRa₁","acd-s_q.htm#4279","a tree:  spp."
"*qaRaw","acd-s_q.htm#4276","snatch, take away by force, rob"
"*qaRem","acd-s_q.htm#4280","pangolin, scaly anteater"
"*qaReNu","acd-s_q.htm#7082","a plant,  spp."
"*qaRsam","acd-s_q.htm#4284","fern sp."
"*qaRsem","acd-s_q.htm#4286","sourness, acidity"
"*qaRta","acd-s_q.htm#4288","outsiders, alien people"
"*qaRuas","acd-s_q.htm#4289","young growth stage of mullet"
"*qaRuhu","acd-s_q.htm#4290","a shore tree:"
"*qaRus","acd-s_q.htm#4291","current, flow"
"*qasawa","acd-s_q.htm#4294","spouse: husband, wife"
"*qaseb","acd-s_q.htm#4302","smoke"
"*qasepa","acd-s_q.htm#4304","astringent"
"*qasiN","acd-s_q.htm#4308","saltiness, salty taste"
"*qasiq","acd-s_q.htm#4319","pity, compassion, affection, love, sympathy, forgiveness"
"*qasiRa","acd-s_q.htm#4325","salt"
"*qasiRa-en","acd-s_q.htm#4327","anything which has been salted"
"*qasu qasu","acd-s_q.htm#4338","give off smoke continuously, pour out smoke"
"*qasu₁","acd-s_q.htm#4332","fetch water, scoop up water"
"*qasu₃","acd-s_q.htm#4335","smoke, fumes, steam; to smoke (as a fire)"
"*qataq","acd-s_q.htm#4340","eat something raw"
"*qatay","acd-s_q.htm#4125","liver; seat of the emotions, inner self: core, mind, will, desire, feeling, intelligence, understanding; to want or wish; hollow of the palm of the hand or sole of the foot; pith, as of bamboo"
"*X₁ + qatay","acd-s_q.htm#4131","(lit. 'big liver') brave, courageous; proud, arrogant"
"*X₂ + qatay","acd-s_q.htm#4132","(lit. 'burning liver') angry, furious"
"*X₃ + qatay","acd-s_q.htm#4133","(lit. 'rotten liver') full of malice"
"*X₄ + qatay","acd-s_q.htm#4134","(lit. 'sick/hurt liver') resentful, offended"
"*X₅ + qatay","acd-s_q.htm#4135","(lit. 'small liver') afraid"
"*X₆ + qatay","acd-s_q.htm#4136","(lit. 'white liver') pure-hearted"
"*qatay qatay₁","acd-s_q.htm#4343","a climbing plant:"
"*qatay-an","acd-s_q.htm#4126","(gloss uncertain)"
"*qateluR","acd-s_q.htm#4345","egg; testicle"
"*qatep","acd-s_q.htm#4348","roof, thatch"
"*qati","acd-s_q.htm#4142","ebb, of water in streams; low tide"
"*qatimela","acd-s_q.htm#4357","flea"
"*qatimun","acd-s_q.htm#4358","cucumber:"
"*qatiŋ","acd-s_q.htm#4364","sweat, perspiration"
"*qatip₁","acd-s_q.htm#4360","breast beam of a back loom"
"*qatip₂","acd-s_q.htm#4362","pinch, squeeze, press together"
"*qatip-an","acd-s_q.htm#4361","part of the loom"
"*qatuan","acd-s_q.htm#4365","deity"
"*qatulay","acd-s_q.htm#4366","a fish: the big-eyed scad"
"*qatuR₁","acd-s_q.htm#4368","pave with stones; pile or stack up, arrange, order, put in sequence"
"*qauŋ","acd-s_q.htm#4377","to howl, of a dog"
"*qauR","acd-s_q.htm#4374","type of large bamboo"
"*qawa₁","acd-s_q.htm#4380","fish sp.: the milkfish,"
"*qawan","acd-s_q.htm#4378","fish sp.: the milkfish,"
"*qawas","acd-s_q.htm#4379","fish sp.: mullet sp.,"
"*qawqaw","acd-s_q.htm#4384","to bark, of a dog"
"*qayam₁","acd-s_q.htm#4386","bird"
"*qayuyu","acd-s_q.htm#4390","coconut crab:"
"*qazay","acd-s_q.htm#4391","chin, jaw"
"*qazi","acd-s_q.htm#4393","no, not; negator of verbs and adjectives (cf *, *, *)"
"*qebel","acd-s_q.htm#4421","smoke"
"*qembus","acd-s_q.htm#4444","blow hard; snort, pant"
"*qeCuR","acd-s_q.htm#4426","sexual arousal, sexual excitement"
"*qedet","acd-s_q.htm#4427","press down on"
